name,Region,year,y_diff,pop_n,pop_u,wat_bas_n,wat_bas_n(rounded),wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_bas_r(rounded),wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_bas_u(rounded),wat_lim_u,wat_unimp_u,wat_sur_u,ARC_N,ARC_N(full),ARC_N(filtered),ARC_R,ARC_R(full),ARC_R(filtered),ARC_U,ARC_U(full),ARC_U(filtered),ARC_DIFF
Haiti,Sub-Saharan Africa,2015,,10695.54004,52.42699814,64.56748594,65,9.21848701,25.47783945,0.7361875961,42.41641805,42,12.22889789,43.80719375,1.547490317,84.66767913,85,6.486797483,8.845523388,0,0.425564492,,0.425564492,0.08585641,,0.08585641,-0.009011568,,-0.009011568,0.094867978
Haiti,Sub-Saharan Africa,2020,5,11402.5332,57.08799744,66.6953084,67,9.814543652,23.49014795,0,42.8457001,43,13.25598695,43.89831295,0,84.62262129,85,7.227673879,8.149704835,0,,,,,,,,,,
Honduras,Latin America & Caribbean,2015,,9112.904297,55.1649971,93.25441071,93,0.4317541067,6.022156156,0.2916790284,86.43707375,86,0.7758441046,12.14597638,0.6411057671,98.79516268,99,0.152097161,1.04505549,0.00768467364,0.486962084,,0.486962084,0.68774516,,0.68774516,0.208424026,,0.208424026,0.479321134
Honduras,Latin America & Caribbean,2020,5,9904.608398,58.35899734,95.68922113,96,0.4256206085,3.885158264,0,89.87579955,90,0.8067095079,9.317490946,0,99.83728281,100,0.1537015262,0.009015663296,0,,,,,,,,,,
Hungary,Europe & Central Asia,2015,,9777.924805,70.5,99.97052896,100,0,0.0294710394,0,99.90008972,100,0,0.09991028479,0,100,100,0,0,0,0.005893702,Full access,0.005893702,0.019982056,Full access,0.019982056,0,Full access,,0.019982056
Hungary,Europe & Central Asia,2020,5,9660.349609,71.94200134,99.99999747,100,0,0.000002527244192,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
Iceland,Europe & Central Asia,2015,,330.2369995,93.69999695,100.0000023,100,0,0,0,100,100,0,0,0,100,100,0,0,0,-0.000001018,Full access,,0,Full access,,0,Full access,,0
Iceland,Europe & Central Asia,2020,5,341.25,93.897995,99.99999721,100,0,0.000002794650015,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
India,South Asia,2015,,1310152.375,32.77700043,88.13813263,88,4.692599015,6.412451552,0.7568168039,85.57200035,86,5.542133893,7.880870004,1.004995751,93.40106461,93,2.950270954,3.4008428,0.2478216409,0.47027848,,0.47027848,0.642100556,,0.642100556,0.053794338,,0.053794338,0.588306218
India,South Asia,2020,5,1380004.375,34.9260025,90.48952503,90,4.983602562,3.963153945,0.5637184626,88.78250313,89,5.902210054,4.57637573,0.7389110856,93.6700363,94,3.272056027,2.820607523,0.2373001538,,,,,,,,,,
